FSC-A	FSC-W	SSC-A	Time	TCR-B	B220	PI	CD11b	CD8	c-kit	CD4	<Ax750-A>	CD150/Slam	Sca-1
7.5246	7.385	2.8861	0.00053437	-0.24249	3.8938	-0.043386	0.47632	-0.26372	-0.39956	-0.24723	0.86746	-0.76833	0.54074
7.4565	7.3912	2.8802	0.00069687	0.62018	-0.39131	0.21377	0.056823	0.39514	0.19122	-0.051599	-0.44422	0.49138	0.90314
7.3301	7.4619	3.1877	0.0005625	0.53117	0.30689	0.49162	-0.45297	0.42097	-0.63773	0.59422	-0.54806	0.32531	0.87626
7.5951	7.3705	2.6954	0.0006125	-0.042128	4.5506	-0.95857	0.43546	-0.10565	-0.41037	3.9069	1.8315	0.36749	1.4334
8.1526	7.4296	3.9949	0.00041875	0.78558	0.48849	-0.0094535	4.9199	-0.47339	1.7102	0.40696	0.36823	0.46068	0.64526
7.9375	7.4365	3.6331	0.00055937	0.94384	-0.54122	0.11804	4.5827	0.76517	2.9919	-0.46837	-0.87969	0.50616	1.4144
7.7553	7.402	2.9289	0.00042813	-0.064085	0.54856	0.0072098	0.67094	-0.34494	1.5606	0.15677	-1.0778	0.76534	0.69521
8.0893	7.4858	3.9263	0.0007625	1.4361	0.42157	0.33474	3.9936	0.76502	1.4122	0.52639	-1.1316	0.56264	2.0929
7.6222	7.3634	2.6596	0.00044062	3.0355	-0.57356	0.60991	0.25827	0.50237	-0.10134	4.7633	2.3446	1.4064	2.2566
8.2145	7.4962	4.3016	0.000625	0.73249	-0.082195	1.2166	4.5933	-0.21963	0.58616	0.57795	-1.0565	1.0413	1.1603
